s_m,x_m,y_m,psi_rad,kappa_radpm,vx_realistic_mps,ax_realistic_mps2
1789.6502095,474.573671,1531.0607304,-1.4635323,-0.0005721,59.6224942449019,0.842342289329966
1791.6498186,476.5618911,1531.273676,-1.4646616,-0.0005574,59.6505932946655,0.838028898306331
1793.6494278,478.5503737,1531.4844082,-1.4657616,-0.0005428,59.6786029976519,0.835757143384186
1795.649037,480.5390871,1531.6929822,-1.4668326,-0.0005284,59.7065303340007,0.833690096443143
1797.6486462,482.5280081,1531.8994531,-1.4678756,-0.0005149,59.7342981916967,0.829316030752288
1799.6482553,484.517152,1532.1038785,-1.4688887,-0.0004959,59.7619769061751,0.827037464386959
1801.6478645,486.506477,1532.3063298,-1.4698568,-0.000473,59.7895727544205,0.824942799308469
1803.6474737,488.4960243,1532.5068924,-1.4707964,-0.0004668,59.8170083256322,0.820529049527144
1805.6470828,490.4857411,1532.7055963,-1.4717232,-0.0004597,59.8443549559558,0.818243692150206
1807.646692,492.4756084,1532.902468,-1.4726345,-0.0004516,59.8716186204452,0.816133506888475
1809.6463012,494.4657019,1533.0975499,-1.4735255,-0.0004395,59.8987207088119,0.811665179429891
1811.6459104,496.455944,1533.2908803,-1.4743926,-0.000428,59.9257336594946,0.809361168281082
1813.6455195,498.4463256,1533.4825051,-1.4752372,-0.0004168,59.9526630454358,0.807220673998632
1815.6451287,500.4369122,1533.6724751,-1.4760598,-0.000406,59.9794297570383,0.802703783304075
1817.6447379,502.4276313,1533.860827,-1.4768609,-0.0003954,60.0061074338055,0.800390240730351
1819.6443471,504.4184756,1534.0476029,-1.4776411,-0.000385,60.0327013463906,0.798231371290555
1821.6439562,506.4095057,1534.2328499,-1.4784008,-0.000375,60.0591319857135,0.793681108079531
1823.6435654,508.4006545,1534.4166022,-1.4791407,-0.0003651,60.0854738921648,0.79136412471657
1825.6431746,510.3919157,1534.5988987,-1.4798612,-0.0003555,60.1117319346338,0.789190041546661
1827.6427837,512.3833452,1534.7797828,-1.4805629,-0.0003463,60.1378267047337,0.784624501685896
1829.6423929,514.3748813,1534.9592861,-1.4812463,-0.0003373,60.1638330428588,0.782304272356251
1831.6420021,516.366519,1535.1374445,-1.4819119,-0.0003284,60.1897556171921,0.780121147752943
1833.6416113,518.3583087,1535.3142978,-1.4825601,-0.0003199,60.2155152196871,0.775549521142407
1835.6412204,520.3501946,1535.4898753,-1.4831915,-0.0003116,60.2411867905624,0.773229318434339
